,,plant_ge,Arnica,Braya,Cassiope,Cerastium,Cerastium,Draba,Draba,Draba,Dryas,Epilobium,Erigeon,Erysimum,Lesquerella,Lychnis,Papaver,Pedicularis,Pedicularis,Pedicularis,Polygonum,Potentilla,Salix,Saxifraga,Saxifraga,Saxifraga,Saxifraga,Saxifraga,Silene,Stellaria,Taraxacum
,,plant_sp,alpina,humilis,tetragona,alpinum,arcticum,bellii,cinerea,oblongata,integrifolia,latifolium,compositus,pallasii,arctica,triflora,radicatum,arctica,capitata,hirsuta,viviparum,sp.,arctica,cernua,flagellaris,hirculus,oppositifolia,tricuspidata,acaulis,sp.,arctogenum
pol_ge,pol_sp,no.,39,13,33,5,6,16,17,20,30,32,40,22,23,7,12,35,36,37,3,31,1,25,26,27,28,29,9,10,41
Xysticus,deichmanni,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardosa,glacialis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dictyna,borealis,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Acarina,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Collembola,sp.,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isotoma,viridis,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Brevicoryne,arctica,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhyncaenus,sp.,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Olethreutes,inquietana,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olethreutes,mengelana,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anarta,richardsoni,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Crymodes,exulis,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lasiestra,leucocycla,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sympistris,labradoris,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boloria,sp.,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Colias,hecla,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Plebeius,aquilo,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tipula,arctica,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
