,Plant ge_,Aristida,Bouteloua,Bouteloua,Bouteloua,Buchloe,Eragrostis,Leptaloma ,Muhlenbergia,Panicum,Scleropogon,Setaria,Sporobolus,Dychoriste,Conyza,Eupatorium,Iva,Machaeranthera,Ratibida,Xanthocephalum,Xanthocephalum,Zinnia,Cryptantha,Convolvulus,Croton,Hoffmanseggia,Prosopis,Linum ,Calyophus,Gaura,Oenothera,Gilia,Polygala,Condalia,Ziziphus,Verbena,Unidentified,Unknown Forb,Unknown Forb,Unknown Forb,Unknown Forb,Unknown Forb,Unknown Forb,Unknown Forb,Unknown Forb,Unknown Forb,Unknown Forb,Unknown Forb,Unknown Forb,Unknown Forb,Unknown Forb,Unknown Forb,Unknown Forb, 
,Plant sp_,hamulosa,curtipendula,gracilis,hirsuta,dactyloides,intermedia,cognata,sp.,obtusum,brevifolius,leucophila,sp.,linearis,coulteri,greggii,dealbata,scabrella,columnaris,texanum,sp.,grandiflora,mexicana,equitans,pottsii,glauca,glandulosa,rigidum,hartwegii,coccinea,sp.,rigida,longa,ericoides,obtusifolius,wrightii,voucher No.28,A,B,C,D,E,F,G,H,J,M,N,O,P,Q,R,S,
Herb ge_,Herb sp_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ageneotettix,deorum,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Aulocara,femoratum,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Boopedon,nubilum,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cordillacris,crenulata,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Eritettix,variabilis,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Opeia,obscura,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Philbostroma,quadrimaculatum,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Psoloessa,texana,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
