,,,,Species,Adesmia haemisphaerica Hauman,Astragalus cruckshanksii (Hook. et Arn.) Grisebach,Astragalus nivicola Gómez-Sosa,Azorella monanthos Clos in Gay,Calandrinia caespitosa Gill. ex Arn.,Cerastium arvense L.,Discaria nana (Clos.) Weberb.        ,Epilobium nivale Meyen,Hypochoeris montana (Phil.) Reiche,Jaborosa laciniata (Miers) A.T. Hunziker & G. Barboza,Leuceria candidissima Don,Loasa incurva Crespo & Pérez-Moreau,Menonvillea hookeri Rollins,Montiopsis gilliesii (Hook. et Arn.) Ford,Oxalis erythrorhiza Gillies,Perezia pilifera (Don.) Hook. et Arnott,Phacelia cf. secunda Gmelin,Senecio tricephalus OK.,Senecio looseri Cabr.,Sisyrinchium junceum ssp. junceum E. Meyer ex Presl. ,Tarasa humilis (Gill.) Krapovickas
,,,,Family,Fabaceae,Fabaceae,Fabaceae,Apiaceae,Portulacaceae,Caryophyllaceae,Rhamnaceae,Onagraceae,Asteraceae,Solanaceae,Asteraceae,Loasaceae,Brassicaceae,Portulacaceae,Oxalidaceae,Asteraceae,Hydrophyllaceae,Asteraceae,Asteraceae,Iridaceae,Malvaceae
Order,Family,Species,pollin_code,plant_code,1,4,5,6,8,9,10,12,14,16,21,22,23,25,30,31,32,39,40,41,42
D,Anthomyiidae,Anthomyiidae sp1,a,6 16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,Dolichogyna sp.,ae,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Tropidia notata,ah,9 10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Tabanidae,Dasybaris chillan ,an,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Tachinidae,Tachinidae sp1 ,ao,6 10 16 32,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
,,Tachinidae sp2 ,ap,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Tachinidae sp3 ,aq,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,Tachinidae sp7,au,1 6 32 40,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
D,unidentified,,aw,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
