,,,,Species,Adesmia retrofracta Hook. et Arn.,Arjona patagonica Hombron & Jacquinot ,Baccharis pingraea DC.,Discaria trinervis (Hook. et Arn.) Reiche,Grindelia chiloensis (Corn.) Cabrera,Hysterionica jasionoides Willd.,Junellia cf. tonini (Kuntze) Moldenke,Larrea divaricata Cav.,Lathyrus sp.,Lecanophora heterophylla (Cav.) Krapovickas,Mimulus sp.,Mutisia decurrens Cav.,Oenothera mendocinensis Gilles ex Hook. et Arn.,Opuntia corrugata S-D.,Oxalis sp.,Phacelia cf. secunda Gmelin,Polygala stenophylla A. Gray,Pyrrhocactus cf. strausianum (K. Schum.) Berger,Rapistrum rugosum (L.) Allioni,Rosa rubiginosa L.,Senecio filaginoides DC.,Senecio subulatus Don ex Hook. & Arn.,Thelesperma megapotamicum (Spreng.) O. Kuntze
,,,,Family,Fabaceae,Santalaceae,Asteraceae,Rhamnaceae,Asteraceae,Asteraceae,Verbenaceae,Zygophyllaceae,Fabaceae,Malvaceae,Scrophulariaceae,Asteraceae,Onagraceae,Cactaceae,Oxalidaceae,Hydrophyllaceae,Polygalaceae,Cactaceae,Brassicaceae,Rosaceae,Asteraceae,Asteraceae,Asteraceae
Order,Family,Species,pollin_code,plant_code,2,3,7,11,13,15,17,18,19,20,24,26,27,28,29,32,33,34,35,36,37,38,43
,,Copestylum aricia,aa,11 13 15 18 35 36 37 38 43,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
,,Copestylum sp2,ab,13 18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Eristalis bogotensis,ac,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,Eristalis tenax,ad,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Carposcalis punctulata,af,7 11 13,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,cf. Toxomerus sp.,ag,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,,Scaeva occidentalis,ai,7 11 13 15 35 38 ,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
,,Syrphidae sp3,aj,7 11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
