,,,plant_com_name,Holly,Yew,Ivy,Mistletoe,Dog rose,Haws,Rowan,Whitebeam,Wild service tree,Wild cherry,Bird cherry,Blackthorn,Blackberry,Wild raspberry,Crab-apple,Elder,Wayfaring tree,Guelder rose,Honeysuckle (common),Honeysuckle (perfoliate),Dogwood,Privet,Buckthorn,Spindle,Wild currant,Wild Gooseberry,Woody nightshade,Black nightshade,Deadly nightshade,White bryony,Black bryony,Spurge laurel,Mezereon,Juniper,Lords and ladies
,,,plant_ge,Ilex,Taxus,Hedera,Viscum,Rosa,Crataegus,Sorbus,Sorbus,Sorbus,Prunus,Prunus,Prunus,Rubus,Rubus,Malus,Sambucus,Viburnum,Viburnum,Lonicera,,Cornus,Ligustrum,Rhamnus,Euonymus,Ribes,Ribes,Solanum,Solanum,Atropa,Bryonia,Tamus,Daphne,Daphne,Juniperus,Arum
,,,plant_sp,aquifolium,baccata,helix,album,canina,spp.,aucuparia,aria,torminalis,avium,padus,spinosa,fruticosus,idaeus,sylvestris,nigra,lantana,opulus,spp.,,sanguinea,vulgare,catharticus,europaeus,rubrum,uva-crispi,dulcamara,nigrum,belladonna,dioica,communis,laureola,mezereum,communis,maculatum
bird_com_name,bird_ge,bird_sp,no.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Blackbird,Turdus,merula,1,612,480,867,4,603,1559,505,257,0,394,89,268,138,5,131,169,40,14,20,78,72,110,228,94,9,0,26,0,0,15,26,0,0,2,42
Song Thrush,Turdus ,philomelos,2,57,510,379,2,7,113,22,36,0,48,21,310,5,0,13,187,6,95,2,11,58,12,37,19,2,0,20,0,0,5,5,0,0,0,0
Mistle Thrush,Turdus,viscivorus,3,370,233,119,251,12,147,32,69,0,40,28,53,0,0,13,4,0,4,0,0,1,5,41,0,0,0,0,0,0,0,0,0,0,8,0
Fieldfare,Turdus,pilaris,4,84,0,110,0,431,990,0,3,0,0,0,33,0,0,7,1,0,0,0,0,0,3,11,0,0,0,0,0,0,0,1,0,0,0,0
Redwing,Turdus,iliacus,5,582,55,168,1,4,536,0,170,0,0,0,60,0,0,1,1,0,1,0,0,101,7,132,0,0,0,0,0,0,0,0,0,0,0,0
Robin,Erithacus,rubecula,6,15,26,76,3,1,19,7,2,0,0,11,21,26,3,13,100,28,3,18,6,53,19,3,130,3,0,14,0,0,1,3,0,0,1,8
Blackcap,Sylvia,atricapilla,7,45,4,126,1,2,0,12,3,0,3,9,0,5,6,0,108,25,1,0,38,9,8,9,36,17,0,41,0,0,31,1,0,0,0,0
Starling,Sturnus,vulgaris,8,0,837,279,0,0,198,63,11,0,67,0,18,335,0,4,722,0,0,1,14,1976,0,90,0,0,0,6,0,0,0,0,0,0,0,0
Waxwing,Bombycilla,garrulus,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodpigeon,Columba,palumbus,10,32,0,0,0,15,96,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ring Ouzel,Turdus,torquatus,11,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garden Warbler,Sylvia,borin,12,0,0,0,0,0,0,1,0,0,1,5,0,2,0,0,15,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0
Lesser Whitethroat,Sylvia,curruca,13,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,12,7,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Magpie,,,14,0,0,0,0,0,0,3,27,0,4,2,1,0,1,0,19,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay,,,15,0,0,0,0,0,0,1,7,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrion Crow,Corvus,corone,16,0,0,0,0,0,0,0,24,0,8,0,17,0,0,12,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Whitethroat,Sylvia,communis,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Moorhen,Gallinula,chloropus,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spotted Flycatcher,Musciapa,striata,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Green Woodpecker,Picus,viridus,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
